recv_iso,t_rel_s,state,nav_prev,nav_curr,nav_next,nav_step,s1,s2,s3,s4,s6,r1,r2,r3,r4,r6,pos,err,corr,kp,ki,kd,arah
2026-08-25T15:08:48.271,43.39,IDLE,-,-,-,0,0,0,0,0,0,3889,4018,3934,3941,3473,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.314,43.421,IDLE,-,-,-,0,0,0,0,0,0,3890,4019,3948,3946,3480,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.375,43.484,IDLE,-,-,-,0,0,0,0,0,0,3884,4019,3934,3939,3470,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.432,43.546,IDLE,-,-,-,0,0,0,0,0,0,3888,4012,3931,3951,3470,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.481,43.593,IDLE,-,-,-,0,0,0,0,0,0,3890,4016,3936,3941,3472,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.535,43.656,IDLE,-,-,-,0,0,0,0,0,0,3887,4013,3927,3945,3464,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.591,43.703,IDLE,-,-,-,0,0,0,0,0,0,3891,4017,3946,3953,3482,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.645,43.765,IDLE,-,-,-,0,0,0,0,0,0,3886,4008,3932,3938,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.696,43.812,IDLE,-,-,-,0,0,0,0,0,0,3896,4019,3951,3950,3478,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.744,43.859,IDLE,-,-,-,0,0,0,0,0,0,3887,4008,3947,3937,3472,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.798,43.906,IDLE,-,-,-,0,0,0,0,0,0,3885,4036,3946,3949,3468,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.864,43.984,IDLE,-,-,-,0,0,0,0,0,0,3882,4013,3937,3936,3466,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.905,44.015,IDLE,-,-,-,0,0,0,0,0,0,3895,4014,3950,3958,3481,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:48.957,44.078,IDLE,-,-,-,0,0,0,0,0,0,3879,4013,3943,3954,3476,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:49.010,44.125,IDLE,-,-,-,0,0,0,0,0,0,3887,4018,3945,3953,3479,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:49.068,44.187,IDLE,-,-,-,0,0,0,0,0,0,3894,4032,3957,3943,3473,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:49.121,44.234,IDLE,-,-,-,0,0,0,0,0,0,3895,4015,3938,3947,3470,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:49.186,44.296,IDLE,-,-,-,0,0,0,0,0,0,3893,4014,3957,3951,3481,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:08:49.227,44.343,IDLE,-,-,-,0,0,0,0,0,0,3893,4015,3934,3939,3466,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
