recv_iso,t_rel_s,state,nav_prev,nav_curr,nav_next,nav_step,s1,s2,s3,s4,s6,r1,r2,r3,r4,r6,pos,err,corr,kp,ki,kd,arah
2026-08-25T15:07:21.961,36.282,IDLE,-,-,-,0,0,0,0,0,0,3892,4015,3956,3947,3468,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:21.968,36.282,IDLE,-,-,-,0,0,0,0,0,0,3896,4020,3948,3952,3471,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.021,36.344,IDLE,-,-,-,0,0,0,0,0,0,3897,4017,3960,3949,3475,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.076,36.391,IDLE,-,-,-,0,0,0,0,0,0,3904,4021,3944,3946,3462,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.131,36.454,IDLE,-,-,-,0,0,0,0,0,0,3891,4014,3950,3944,3469,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.194,36.516,IDLE,-,-,-,0,0,0,0,0,0,3897,4021,3951,3941,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.239,36.563,IDLE,-,-,-,0,0,0,0,0,0,3886,4016,3941,3936,3463,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.291,36.61,IDLE,-,-,-,0,0,0,0,0,0,3893,4023,3948,3946,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.340,36.657,IDLE,-,-,-,0,0,0,0,0,0,3885,4010,3943,3937,3470,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.400,36.719,IDLE,-,-,-,0,0,0,0,0,0,3896,4018,3955,3948,3475,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.472,36.797,IDLE,-,-,-,0,0,0,0,0,0,3893,4015,3942,3933,3458,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.521,36.844,IDLE,-,-,-,0,0,0,0,0,0,3902,4017,3952,3943,3463,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.566,36.891,IDLE,-,-,-,0,0,0,0,0,0,3891,4014,3943,3924,3459,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.605,36.922,IDLE,-,-,-,0,0,0,0,0,0,3895,4020,3952,3953,3475,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.665,36.985,IDLE,-,-,-,0,0,0,0,0,0,3891,4017,3946,3942,3462,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.754,37.079,IDLE,-,-,-,0,0,0,0,0,0,3898,4021,3952,3939,3463,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.768,37.079,IDLE,-,-,-,0,0,0,0,0,0,3892,4023,3951,3947,3462,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.823,37.141,IDLE,-,-,-,0,0,0,0,0,0,3900,4018,3958,3950,3472,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.879,37.204,IDLE,-,-,-,0,0,0,0,0,0,3900,4018,3957,3952,3474,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:22.927,37.25,IDLE,-,-,-,0,0,0,0,0,0,3892,4021,3945,3955,3468,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.011,37.329,IDLE,-,-,-,0,0,0,0,0,0,3897,4021,3958,3952,3474,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.034,37.36,IDLE,-,-,-,0,0,0,0,0,0,3895,4022,3947,3938,3462,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.094,37.407,IDLE,-,-,-,0,0,0,0,0,0,3895,4025,3957,3951,3473,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.157,37.469,IDLE,-,-,-,0,0,0,0,0,0,3894,4018,3942,3933,3458,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.198,37.516,IDLE,-,-,-,0,0,0,0,0,0,3921,4041,3966,3969,3482,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.253,37.563,IDLE,-,-,-,0,0,0,0,0,0,3919,4044,3981,3979,3493,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.300,37.61,IDLE,-,-,-,0,0,0,0,0,0,3921,4045,3968,3962,3484,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.350,37.672,IDLE,-,-,-,0,0,0,0,0,0,3920,4041,3982,3980,3489,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.412,37.735,IDLE,-,-,-,0,0,0,0,0,0,3921,4041,3981,3961,3487,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.453,37.766,IDLE,-,-,-,0,0,0,0,0,0,3918,4040,3984,3970,3491,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.516,37.829,IDLE,-,-,-,0,0,0,0,0,0,3918,4046,3970,3978,3491,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.557,37.875,IDLE,-,-,-,0,0,0,0,0,0,3915,4048,3980,3976,3487,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.616,37.938,IDLE,-,-,-,0,0,0,0,0,0,3918,4041,3979,3965,3483,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.677,38.0,IDLE,-,-,-,0,0,0,0,0,0,3911,4026,3963,3961,3483,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.717,38.032,IDLE,-,-,-,0,0,0,0,0,0,3890,4011,3952,3937,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.789,38.11,IDLE,-,-,-,0,0,0,0,0,0,3896,4021,3944,3943,3470,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.834,38.157,IDLE,-,-,-,0,0,0,0,0,0,3888,4012,3946,3934,3464,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.877,38.188,IDLE,-,-,-,0,0,0,0,0,0,3896,4021,3948,3953,3471,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.933,38.25,IDLE,-,-,-,0,0,0,0,0,0,3888,4015,3955,3950,3472,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:23.988,38.313,IDLE,-,-,-,0,0,0,0,0,0,3898,4021,3947,3944,3461,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.044,38.36,IDLE,-,-,-,0,0,0,0,0,0,3902,4021,3953,3951,3473,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.106,38.422,IDLE,-,-,-,0,0,0,0,0,0,3899,4017,3958,3955,3469,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.146,38.469,IDLE,-,-,-,0,0,0,0,0,0,3892,4022,3945,3954,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.199,38.516,IDLE,-,-,-,0,0,0,0,0,0,3895,4021,3960,3949,3470,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.256,38.579,IDLE,-,-,-,0,0,0,0,0,0,3891,4021,3956,3950,3473,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.305,38.625,IDLE,-,-,-,0,0,0,0,0,0,3886,4022,3954,3945,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.366,38.688,IDLE,-,-,-,0,0,0,0,0,0,3895,4022,3950,3952,3467,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.416,38.735,IDLE,-,-,-,0,0,0,0,0,0,3888,4007,3948,3943,3468,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.465,38.782,IDLE,-,-,-,0,0,0,0,0,0,3898,4020,3955,3951,3476,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.527,38.844,IDLE,-,-,-,0,0,0,0,0,0,3892,4015,3950,3947,3461,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.568,38.891,IDLE,-,-,-,0,0,0,0,0,0,3896,4019,3945,3941,3465,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.633,38.954,IDLE,-,-,-,0,0,0,0,0,0,3890,4013,3936,3937,3457,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.701,39.016,IDLE,-,-,-,0,0,0,0,0,0,3896,4022,3950,3952,3469,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.732,39.047,IDLE,-,-,-,0,0,0,0,0,0,3885,4017,3952,3940,3462,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.795,39.11,IDLE,-,-,-,0,0,0,0,0,0,3899,4017,3956,3953,3473,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.837,39.157,IDLE,-,-,-,0,0,0,0,0,0,3899,4019,3946,3946,3460,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.898,39.219,IDLE,-,-,-,0,0,0,0,0,0,3899,4022,3948,3945,3466,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
2026-08-25T15:07:24.955,39.266,IDLE,-,-,-,0,0,0,0,0,0,3895,4022,3948,3956,3472,0.0,0.0,0.0,30.0,0.01,15.0,TIDAK ADA GARIS
